"organization","slug","dataset","resource","url","operations","columns","fact"
"SCT","sct","Infraestructura Marítimo-Portuaria","Flota activa de embarcaciones menores a 100 esloras","http://busca.datos.gob.mx/#/conjuntos/infraestructura-maritimoportuaria","tabla","A,H","En lo que va del 2015, se han registrado un total de 1,305 entradas de cruceros (tomando sólo embarcaciones menores a 100 esloras) a los puertos de de las distintas entidades de la república; el puerto de Cozumel es el que mayor número de entradas ha registrado (668)."
"SCT","sct","Infraestructura Ferroviaria","Empresas ferroviarias y personal","http://busca.datos.gob.mx/#/conjuntos/infraestructura-ferroviaria","tabla","A,D","Hasta el 2014, en México operaban 13 empresas ferroviarias que empleaban a más de 8,000 personas."
"SCT","sct","Infraestructura Aeroportuaria","Operaciones de vuelos Regulares Nacionales","http://busca.datos.gob.mx/#/conjuntos/infraestructura-aeroportuaria","tabla","A","Existen 298 rutas (origen-destino) distintas de operaciones de vuelos regulares nacionales hasta el último registro hecho en México."
"SCT","sct","Infraestructura de Telecomunicaciones","Tabla con sitios con conectividad a internet (México Conectado)","http://busca.datos.gob.mx/#/conjuntos/infraestructura-de-telecomunicaciones","tabla","L,N,O","Hay 5,510 sitios públicos con conectividad wifi en el país."
"SE","se","Número de mujeres rurales microacreditadas","Mujeres rurales microacreditadas por entidad federativa del periodo abril-junio 2015","http://busca.datos.gob.mx/#/conjuntos/numero-de-mujeres-rurales-microacreditadas","tabla","A,B","El número total de mujeres rurales con acceso a crédito, entre abril y junio 2015, es 148,620."
"SE","se","Estadística Minera","Volumen y valor","http://busca.datos.gob.mx/#/conjuntos/estadistica-minera","tabla","D,E","El valor total de la minería metalúrgica se elevó de $94'816,874.50 (2009) a $200'946,361.96 (2013); es decir, tuvo una tasa de crecimiento del 111.93%"
"SE","se","Estadística Minera","México en el mundo","http://busca.datos.gob.mx/#/conjuntos/estadistica-minera","tabla","A,B,C,E","México se mantuvo como el primer lugar productor de plata a nivel mundial de 2010 a 2013, produciento en éste (2013) el 26.36% del total mundial de dicho metal."
"SE","se","Registro Nacional de Inversiones Extranjeras","Listado del Registro de Empresas Extranjeras inscritas en el RNIE que realizan actos de comercio en México","http://busca.datos.gob.mx/#/conjuntos/registro-nacional-de-inversiones-extranjeras","tabla","A,C","Existen 707 empresas extranjeras, de más de 45 países, registradas y comerciando en nuestro país."
"SE","se","Base de datos de indicadores del PROSOFT","Indicadores PROSOFT por entidad federativa 2004 - 2014","http://busca.datos.gob.mx/#/conjuntos/base-de-datos-de-indicadores-del-prosoft","tabla","A,I","De 2004 a 2014, el monto de aportación del PROSOFT se multiplicó por más de 4 veces (de  $139,700,000.00 a  $723,698,800.92)"
"SE","se","Verificaciones realizadas por la Secretaría de Economía a través de la Procuraduría Federal del Consumidor (PROFECO)","Tabla de resultados de las verificaciones realizadas por PROFECO a los productos sujetos a norma oficial mexicana Enero a Septiembre 2015","http://busca.datos.gob.mx/#/conjuntos/verificaciones-realizadas-por-la-secretaria-de-economia-a-traves-de-la-procuraduria-federal-del-consumidor-profeco","Tabla","L,N,O","De las 31,214
 verificaciones realizadas por PROFECO a los productos sujetos a norma oficial mexicana en Enero-Septiembre 2015, en 29,391
no se detectó incumplimiento alguno (94.16%
 del total)"
"SECTUR","sectur","Campañas Institucionales","Campañas Institucionales","http://busca.datos.gob.mx/#/conjuntos/campanas-institucionales","tabla","B,D","El número de Campañas Institucionales de turismo se elevó de 13 en 2013 a 72 en 2014."
"SECTUR","sectur","Campañas Institucionales","Campañas Institucionales","http://busca.datos.gob.mx/#/conjuntos/campanas-institucionales","tabla","B,C","El estado que mayor número de Campañas Institucionales de turismo presentó en el último par de años (2013-14) fue Yucatán con un total de 7."
"SECTUR","sectur","Actividad Hotelera por Entidad Federativa","Actividad Hotelera por Entidad Federativa","http://busca.datos.gob.mx/#/conjuntos/actividad-hotelera-por-entidad-federativa","tabla","B,D","La actividad hotelera, entre 2000 y 2014, ha registrado un total de 1,168'122,657 de turistas (extranjeros y nacioales) en ocupación de hotel; la entidad federativa con mayor registro fue el DF (153'932,026), seguido de Quintana Roo (113'291,068)"
"SECTUR","sectur","Servicios de Auxílio Turístico de la Corporación Ángeles Verdes","Servicios de Auxílio Turístico de la Corporación Ángeles Verdes de la Secretaría de Turismo (SECTUR)","http://busca.datos.gob.mx/#/conjuntos/servicios-de-auxilio-turistico-de-la-corporacion-angeles-verdes","tabla","A,C","Durante el 2014, se registraron 164,361 Servicios de auxílio turístico de la corporación Ángeles Verdes; en Nuevo León fue en donde mayor número se registró (12,608)."
"SECTUR","sectur","Campañas Cooperativas","Campañas Cooperativas","http://busca.datos.gob.mx/#/conjuntos/campanas-cooperativas","Tabla","A,C","Entre 2009 y 2014 se llevaron a cabo un total de 2,596 campañas cooperativas con distintos mercados (Asía, Europa, Latinoamérica, Nacional y Norteamérica)."
"SECTUR","sectur","Campañas Cooperativas","Campañas Cooperativas","http://busca.datos.gob.mx/#/conjuntos/campanas-cooperativas","Tabla","A,C","El mayor número de campañas cooperativas entre 2009 y 2014 fue con el propio mercado nacional (1,240), seguido del mercado norteamericano (1,056)."
"SEDATU","sedatu","ODS SEDATU","Rezago habitacional por condiciones de espacio, materiales e instalaciones de la vivienda","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","tabla","D","El rezago habitacional total, calculado con el Modulo de Condiciones Socieconómicas de la ENIGH 2014 ascendió a 13,619,650"
"SEDATU","sedatu","ODS SEDATU","Densidad de población (bruta)","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","Rutina en R","G","La densidad poblacional bruta promedio a nivel nacional por km² en el 2015 es de 297.5938 personas/km²"
"SEDATU","sedatu","ODS SEDATU","Densidad de población (bruta)","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","Rutina en R","A,G","Con base en datos del 2015, El Distrito Federal tiene la mayor densidad poblacional bruta por de 5,907 personas/km²"
"SEDATU","sedatu","ODS SEDATU","Residuos sólidos urbanos manejados adecuadamente","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","tabla","","En promedio el 27.89% de los residuos sólidos urbanos a nivel nacional son tratados."
"SEDATU","sedatu","ODS SEDATU","Rezago habitacional por condiciones de espacio, materiales e instalaciones de la vivienda","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","Rutina en R","A, B","La entidad con menor rezago habitacional por condiciones de espacio, calculado con el Modulo de Condiciones Socieconómicas de la ENIGH 2014 fue Nayarit"
"SEDATU","sedatu","ODS SEDATU","Rezago habitacional por condiciones de espacio, materiales e instalaciones de la vivienda","http://busca.datos.gob.mx/#/conjuntos/ods-sedatu","Rutina en R","A,B","La entidad con menor rezago habitacional por materiales, calculado con el Modulo de Condiciones Socieconómicas de la ENIGH 2014 fue Campeche"
"SEDENA","sedena","Adquisiciones (Contratos)","Adquisición de Bienes y Servicios.","http://busca.datos.gob.mx/#/conjuntos/adquisiciones-contratos","Procedimiento en Bash","B","En el 2015 la SEDENA realizo 113 contratación por medio de licitación pública"
"SEDENA","sedena","Adquisiciones (Contratos)","Adquisición de Bienes y Servicios.","http://busca.datos.gob.mx/#/conjuntos/adquisiciones-contratos","Procedimiento en Bash","H","En el 2015 la SEDENA realizo contrataciones por un valor de 1,719,156,197 de pesos"
"SEDENA","sedena","Obras ejecutadas para beneficio de la Secretaría de la Defensa Nacional","Cantidad de obras ejecutadas en el año 2015","http://busca.datos.gob.mx/#/conjuntos/obras-ejecutadas-para-beneficio-de-la-secretaria-de-la-defensa-nacional","Procedimiento en Bash","A","SEDENA ha realizado 40 obras en lo que va del 2015"
"SEDENA","sedena","Obras ejecutadas para beneficio de la Secretaría de la Defensa Nacional","Cantidad de obras ejecutadas en el año 2014","http://busca.datos.gob.mx/#/conjuntos/obras-ejecutadas-para-beneficio-de-la-secretaria-de-la-defensa-nacional","Procedimiento en Bash","","SEDENA realizó 74 obras en el 2014"
"SEDESOL","sedesol","Programa de Comedores Comunitarios 2015","COMEDORES 2015 enero a marzo","http://busca.datos.gob.mx/#/conjuntos/programa-de-comedores-comunitarios-2015","tabla","C","Durante el primer trimestre de 2015, el programa de Comedores Comunitarios benefició a 413,787 personas, mediante 43,470 comedores que proporcionan alimentos nutritivos y en cantidad suficiente."
"SEDESOL","sedesol","Instituto Mexicano de la Juventud","IMJUVE enero a junio 2014","http://busca.datos.gob.mx/#/conjuntos/instituto-mexicano-de-la-juventud","tabla","A,F","4,129 jóvenes (entre 12 y 29 años) fueron beneficiados con alguno de los apoyos del Instituto Mexicano de la Juventud durante el primer semestre de 2014. 2140 fueron hombres, 1989 mujeres."
"SEDESOL","sedesol","Programa Pensión para Adultos Mayores 2015","PAM 2015 mayo a junio","http://busca.datos.gob.mx/#/conjuntos/programa-pension-para-adultos-mayores-2015","tabla","H,I","En el tercer bimestre de 2015, se apoyaron a 5'216,809 adultos mayores de 65 años con un total de $6,051,498,440.00 ($1,160 cada uno) mediante el programa Pensión para Adultos."
"SEDESOL","sedesol","Programa de Abasto Social de Leche a Cargo de LICONSA, S.A. de C.V. 2015","PASL 2015 julio","http://busca.datos.gob.mx/#/conjuntos/programa-de-abasto-social-de-leche-a-cargo-de-liconsa-s-a-de-c-v-2015","tabla","F,H","Durante Junio de 2015, un total de 9,550,946 personas fueron beneficiarias del programa de Abasto Social de Leche (gratuita o a bajo costo), con un total de 100,459,600 de litros de leche."
"SEDESOL","sedesol","Beneficiarios del Programa de Empleo Temporal","Número de empleos directos generados por el Programa de Empleo Temporal, desagregados por género, entidad, municipal y por localidad","http://busca.datos.gob.mx/#/conjuntos/beneficiarios-del-programa-de-empleo-temporal","Procedimiento en R","C,I","El estado con mayor número de beneficiarias del programa emplo temporal fue  Chiapas con  126,625 beneficiadas"
"SEDESOL","sedesol","Beneficiarios del Programa de Empleo Temporal","Número de empleos directos generados por el Programa de Empleo Temporal, desagregados por género, entidad, municipal y por localidad","http://busca.datos.gob.mx/#/conjuntos/beneficiarios-del-programa-de-empleo-temporal","Procedimiento en R","C,H","El estado con mayor número de beneficiarios del programa emplo temporal fue  Chiapas con  88,703 beneficiados"
"SEGOB","segob","Registro de atenciones brindadas por el Programa Paisano","Tabla de registro de atenciones brindadas por el Programa Paisano","http://busca.datos.gob.mx/#/conjuntos/registro-de-atenciones-brindadas-por-el-programa-paisano","tabla","A,C,D,E,F","Se apoyó a 2'094,461 personas en el periodo Mayo-Agosto mediante el programa Paisano. El estado que más apoyo dio fue Jalisco (730,281 en dicho periodo)."
"SEGOB","segob","Volcan Activos en Mexico","Volcan Activos en Mexico","http://busca.datos.gob.mx/#/conjuntos/volcan-activos-en-mexico","Conteo en Mapa","No Aplica","Existen actualmente 67 volcanes activos en el terriotorio mexicano (incluyendo todos los tipos: volcán escudo, submarino, caldera, etc.)."
"SEGOB","segob","Iniciativas del Ejecutivo Federal","Reporte de iniciativas presentadas por el Ejecutivo Federal a partir del 1 de diciembre de 2012, por estatus","http://busca.datos.gob.mx/#/conjuntos/iniciativas-del-ejecutivo-federal","Interpretación gráfica","No Aplica","En el peridodo del sexenio actual, se han presentado 84 iniciativas por parte del Ejecutivo Federal, de las cuales 62 han sido aprovadas y publicadas en el DOF."
"SEGOB","segob","Migrantes atendidos por los Grupos Beta de Proteccion a Migrantes","Reporte mensual de actividades sobre las atenciones otorgadas a los migrantes por parte de los 22 Grupos Beta de Proyeccion a Migrantes","http://busca.datos.gob.mx/#/conjuntos/migrantes-atendidos-por-los-grupos-beta-de-proteccion-a-migrantes","tabla","B,C","En un mes, los grupos Beta de Protección a Migrantes atendieron a 61,922 migrantes (mediante rescate y salvamento, ayuda humanitaria, asesoría legal y orientación). Chiapas fue el estado en donde más se atendió con 22,404 migrantes atendidos."
"SEGOB","segob","Migrantes atendidos por los Grupos Beta de Proteccion a Migrantes","Reporte mensual de actividades sobre las atenciones otorgadas a los migrantes por parte de los 22 Grupos Beta de Proyeccion a Migrantes ubicados en los estados de Baja California, Sonora, Chihuahua, Coahuila, Tamaulipas, Chiapas, Tabasco, Veracruz y Oaxaca.","http://busca.datos.gob.mx/#/conjuntos/migrantes-atendidos-por-los-grupos-beta-de-proteccion-a-migrantes","tabla","A,C,D","En el period Mayo-Agosto de 2015 los grupos Beta de Protección a Migrantes atendieron a 22,404 en Chiapas"
"SEGOB","segob","Migrantes atendidos por los Grupos Beta de Proteccion a Migrantes","Reporte mensual de actividades sobre las atenciones otorgadas a los migrantes por parte de los 22 Grupos Beta de Proyeccion a Migrantes ubicados en los estados de Baja California, Sonora, Chihuahua, Coahuila, Tamaulipas, Chiapas, Tabasco, Veracruz y Oaxaca.","http://busca.datos.gob.mx/#/conjuntos/migrantes-atendidos-por-los-grupos-beta-de-proteccion-a-migrantes","tabla","A,C,D","En el period Mayo-Agosto de 2015 los grupos Beta de Protección a Migrantes atendieron a 11,950 en Sonora"
"SEMARNAT","semarnat","Agua residual que recibe tratamiento","Agua residual municipal e industrial que recibe tratamiento como porcentaje del agua residual generada.","http://busca.datos.gob.mx/#/conjuntos/agua-residual-que-recibe-tratamiento","Rutina en R","A,J","El porcentaje de agua tratada con respecto al total de agua generada paso de 15.76% en 1998 a 37.81% en el 2013"
"SEMARNAT","semarnat","Agua Residual que recibe tratamiento","Agua residual que recibe tratamiento por entidad federativa","http://busca.datos.gob.mx/#/conjuntos/agua-residual-que-recibe-tratamiento","Rutina en R","A,D","El estado que trató el mayor porcentaje de agua en el 2013 fue Nuevo León con 117.2%"
"SEMARNAT","semarnat","Eficencia en el uso del agua en el sector agrícola de riego","Eficiencia en el uso del agua en el sector agrícola de riego","http://busca.datos.gob.mx/#/conjuntos/eficencia-en-el-uso-del-agua-en-el-sector-agricola-de-riego","Rutina en R","A, E","La eficiencia en el uso de agua en el sector agrícola paso de 1.11 en el periodo 1994-1995 a 1.84 en el periodo 2012-2013"
"SEMARNAT","semarnat","Grado de Presión de los recursos hídricos","Grado de Presión de los recursos hídricos","http://busca.datos.gob.mx/#/conjuntos/grado-de-presion-de-los-recursos-hidricos","Rutina en R","C,F","El grado de presión de los recursos hídricos paso de 15.4 en el 2001 a 17.3 en el 2013"
"SEMARNAT","semarnat","Indicadores Cambio Climático","disponibilidad de servicios relacionados con los residuos sólidos urbanos","http://busca.datos.gob.mx/#/conjuntos/indicadores-cambio-climatico","Rutina en R","A,B,C,D,E","El 90% de los municipios a nivel nacional contaban con servicios de recolección y disposición de desechos sólidos en el 2012"
"SEMARNAT","semarnat","Indicadores Cambio Climático","disponibilidad de servicios relacionados con los residuos sólidos urbanos","http://busca.datos.gob.mx/#/conjuntos/indicadores-cambio-climatico","Rutina en R","A,B,C,D,F","La entidad federativa con mayor proporción de municipios/delegaciones que contaban con servicios de recolección, disposición y tratamiento de desechos sólidos en 2012 fue el Distrito Federal con el 100% de las delegaciones"
"SENER","sener","Volumen de las exportaciones de crudo por países","Volumen de las exportaciones de crudo por países.","http://busca.datos.gob.mx/#/conjuntos/volumen-de-las-exportaciones-de-crudo-por-paises","tabla","C,D","El nivel total de las exportaciones de crudo pasó de 795'665,077 barriles en 2010 a 1,204'504,598 en 2015, lo cual representa un crecimiento en exportaciones del 51.38% en 5 años."
"SENER","sener","Ventas internas de energía eléctrica por entidad federativa.","Ventas internas de energía eléctrica por entidad federativa","http://busca.datos.gob.mx/#/conjuntos/ventas-internas-de-energia-electrica-por-entidad-federativa","tabla","B,C","Las ventas internas de energía eléctrica tuvieron una tasa de crecimiento del 11.45% de 2010 a 2014 (de 186'638,877.9 a 208'014,911.6 MWh)."
"SENER","sener","Ventas internas de energía eléctrica por entidad federativa.","Ventas internas de energía eléctrica por entidad federativa","http://busca.datos.gob.mx/#/conjuntos/ventas-internas-de-energia-electrica-por-entidad-federativa","tabla","A,C","La entidad federativa que registra mayor nivel de ventas en energía eléctrica a partir del 2010 es el Estado de México (99'884,118.31 MWh), mientras que el que tiene el menor nivel es Campeche (7'046,004.26 MWh)."
