"organization","slug","dataset","resource","url","operations","columns","fact"
"SHCP","shcp","Proyecto de Presupuesto de Egresos","Proyecto de Presupuesto de Egresos 2015","http://busca.datos.gob.mx/#/conjuntos/proyecto-de-presupuesto-de-egresos","Rutina en R","A","En el 2015 han habido 219,418 programas presupuestarios"
"STPS","stps","ODS Secretaría del Trabajo y Previsión Social","Indicador Brecha entre la Tasa Neta de Participación Femenina y la Tasa Neta de Participación Masculina","http://busca.datos.gob.mx/#/conjuntos/ods-secretaria-del-trabajo-y-prevision-social","Rutina en R","A,B,C,D","La brecha en la tasa de participación femenina en el campo laboral se redujo de -38.27 a -37.64 en la población de entre 15 y 29 años y de -50.61 a -49.36 en la población de 30 y más años a nivel nacional en el periodod de 1995-1999."
"STPS","stps","ODS Secretaría del Trabajo y Previsión Social","Indicador Tasa de crecimiento del PIB por persona ocupada","http://busca.datos.gob.mx/#/conjuntos/ods-secretaria-del-trabajo-y-prevision-social","Rutina en R","A,B","El indicador de la tasa de crecimiento del PIB ha aumentado en un 20% en el periodo 1996-2014."
"STPS","stps","ODS Secretaría del Trabajo y Previsión Social","Indicador Tasa de desocupación","http://busca.datos.gob.mx/#/conjuntos/ods-secretaria-del-trabajo-y-prevision-social","Rutina en R","A,B,C,D,E","La tasa de desocupación en hombres se redujo de 6.35 a 2.05, más de un 30%, en el periodo 1995-1999"
"STPS","stps","ODS Secretaría del Trabajo y Previsión Social","Indicador Tasa de desocupación","http://busca.datos.gob.mx/#/conjuntos/ods-secretaria-del-trabajo-y-prevision-social","Rutina en R","A,B,C,D,E","La tasa de desocupación en mujeres se redujo de 8.90 a 3.85, más de un 40%, en el periodo 1995-1999"
"STPS","stps","Serie estadística de la cantidad de trabajadores asalariados con respecto a la población ocupada total (trimestral).","Serie estadística de la cantidad de trabajadores asalariados con respecto a la población ocupada total (trimestral).","http://busca.datos.gob.mx/#/conjuntos/serie-estadistica-de-la-cantidad-de-trabajadores-asalariados-con-respecto-a-la-poblacion-ocupada-total-trimestral","Rutina en R","C, G","El número de hombres ocupados en 2015 es de 31,309,072"
"STPS","stps","Serie estadística de la cantidad de trabajadores asalariados con respecto a la población ocupada total (trimestral).","Serie estadística de la cantidad de trabajadores asalariados con respecto a la población ocupada total (trimestral).","http://busca.datos.gob.mx/#/conjuntos/serie-estadistica-de-la-cantidad-de-trabajadores-asalariados-con-respecto-a-la-poblacion-ocupada-total-trimestral","Rutina en R","C, G","El número de mujeres ocupadas en 2015 es de 19027016"
"PRESIDENCIA","presidencia","Número de dependencias publicando","Número de dependencias publicando","http://busca.datos.gob.mx/#/instituciones/presidencia","Rutina de R",NA,"159 dependencias están publicando en datos.gob.mx"
"CDI","cdi","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/cdi","Rutina de R",NA,"15 Es el número de bases de datos que la dependencia CDI ha publicado. "
"INMUJERES","inmujeres","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/inmujeres","Rutina de R",NA,"7 Es el número de bases de datos que la dependencia INMUJERES ha publicado. "
"ISSSTE","issste","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/issste","Rutina de R",NA,"19 Es el número de bases de datos que la dependencia ISSSTE ha publicado. "
"PGR","pgr","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/pgr","Rutina de R",NA,"44 Es el número de bases de datos que la dependencia PGR ha publicado. "
"PRESIDENCIA","presidencia","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/presidencia","Rutina de R",NA,"1666 Es el número de bases de datos que la dependencia PRESIDENCIA ha publicado. "
"SAGARPA","sagarpa","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sagarpa","Rutina de R",NA,"129 Es el número de bases de datos que la dependencia SAGARPA ha publicado. "
"SALUD","salud","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/salud","Rutina de R",NA,"52 Es el número de bases de datos que la dependencia SALUD ha publicado. "
"SCT","sct","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/sct","Rutina de R",NA,"50 Es el número de bases de datos que la dependencia SCT ha publicado. "
"SE","se","Número de bases de datos","Número de bases de datos","http://busca.datos.gob.mx/#/instituciones/se","Rutina de R",NA,"172 Es el número de bases de datos que la dependencia SE ha publicado. "
